"STATISTIC","Statistic Label","TLIST(A1)","Census Year","C04167V04938","Electoral Divisions","UNIT","VALUE"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d87-13a3-e055-000000000001","Inchicore B, Dublin City","Number","2728"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d88-13a3-e055-000000000001","Inns Quay A, Dublin City","Number","4033"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d89-13a3-e055-000000000001","Inns Quay B, Dublin City","Number","4537"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d8a-13a3-e055-000000000001","Inns Quay C, Dublin City","Number","3087"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d8b-13a3-e055-000000000001","Kilmainham A, Dublin City","Number","2646"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d8c-13a3-e055-000000000001","Kilmainham B, Dublin City","Number","2638"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d8d-13a3-e055-000000000001","Kilmainham C, Dublin City","Number","4956"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d97-13a3-e055-000000000001","Kilmore A, Dublin City","Number","3678"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d98-13a3-e055-000000000001","Kilmore B, Dublin City","Number","2546"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d8e-13a3-e055-000000000001","Kilmore C, Dublin City","Number","1413"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d96-13a3-e055-000000000001","Kilmore D, Dublin City","Number","2149"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d99-13a3-e055-000000000001","Kimmage A, Dublin City","Number","1903"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d9a-13a3-e055-000000000001","Kimmage B, Dublin City","Number","3533"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d9b-13a3-e055-000000000001","Kimmage C, Dublin City","Number","3738"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d9c-13a3-e055-000000000001","Kimmage D, Dublin City","Number","2533"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d9d-13a3-e055-000000000001","Kimmage E, Dublin City","Number","3500"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d9e-13a3-e055-000000000001","Kylemore, Dublin City","Number","2557"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d9f-13a3-e055-000000000001","Mansion House A, Dublin City","Number","4298"
"F1011C01","Population - 2022","2022","2022","2ae19629-1da0-13a3-e055-000000000001","Mansion House B, Dublin City","Number","1021"
"F1011C01","Population - 2022","2022","2022","2ae19629-1da1-13a3-e055-000000000001","Merchants Quay A, Dublin City","Number","2749"
