STATISTIC,STATISTIC Label,TLIST(A1),Year,Town,C02172V02618,Type of Vehicle Registration,C01841V02268,Type of Fuel,UNIT,VALUE
TEA17,New Vehicles Licensed for the First Time,2015,2015,,016012,New Large Public Service Vehicles,2,Diesel,Number,418
TEA17,New Vehicles Licensed for the First Time,2015,2015,,016012,New Large Public Service Vehicles,3,Other fuel types,Number,0
TEA17,New Vehicles Licensed for the First Time,2015,2015,,016012,New Large Public Service Vehicles,4,Petrol and electric hybrid,Number,0
TEA17,New Vehicles Licensed for the First Time,2015,2015,,016012,New Large Public Service Vehicles,7,Petrol or Diesel plug-in hybrid electric,Number,0
TEA17,New Vehicles Licensed for the First Time,2015,2015,,016012,New Large Public Service Vehicles,9,Diesel and electric hybrid,Number,0
TEA17,New Vehicles Licensed for the First Time,2015,2015,,01604,New Machines or Contrivances,-,All fuel types,Number,409
TEA17,New Vehicles Licensed for the First Time,2015,2015,,01604,New Machines or Contrivances,1,Petrol,Number,0
TEA17,New Vehicles Licensed for the First Time,2015,2015,,01604,New Machines or Contrivances,2,Diesel,Number,407
TEA17,New Vehicles Licensed for the First Time,2015,2015,,01604,New Machines or Contrivances,3,Other fuel types,Number,0
TEA17,New Vehicles Licensed for the First Time,2015,2015,,01604,New Machines or Contrivances,4,Petrol and electric hybrid,Number,0
TEA17,New Vehicles Licensed for the First Time,2015,2015,,01604,New Machines or Contrivances,7,Petrol or Diesel plug-in hybrid electric,Number,0
TEA17,New Vehicles Licensed for the First Time,2015,2015,,01604,New Machines or Contrivances,9,Diesel and electric hybrid,Number,0
TEA17,New Vehicles Licensed for the First Time,2015,2015,,01605,Other Classes New Other Vehicles,-,All fuel types,Number,167
TEA17,New Vehicles Licensed for the First Time,2015,2015,,01605,Other Classes New Other Vehicles,1,Petrol,Number,5
TEA17,New Vehicles Licensed for the First Time,2015,2015,,01605,Other Classes New Other Vehicles,2,Diesel,Number,162
TEA17,New Vehicles Licensed for the First Time,2015,2015,,01605,Other Classes New Other Vehicles,3,Other fuel types,Number,0
TEA17,New Vehicles Licensed for the First Time,2015,2015,,01605,Other Classes New Other Vehicles,4,Petrol and electric hybrid,Number,0
TEA17,New Vehicles Licensed for the First Time,2015,2015,,01605,Other Classes New Other Vehicles,7,Petrol or Diesel plug-in hybrid electric,Number,0
TEA17,New Vehicles Licensed for the First Time,2015,2015,,01605,Other Classes New Other Vehicles,9,Diesel and electric hybrid,Number,0
TEA17,New Vehicles Licensed for the First Time,2016,2016,,-,All Vehicles,-,All fuel types,Number,181293
TEA17,New Vehicles Licensed for the First Time,2016,2016,,-,All Vehicles,1,Petrol,Number,42128
TEA17,New Vehicles Licensed for the First Time,2016,2016,,-,All Vehicles,2,Diesel,Number,135892
TEA17,New Vehicles Licensed for the First Time,2016,2016,,-,All Vehicles,3,Other fuel types,Number,1
TEA17,New Vehicles Licensed for the First Time,2016,2016,,-,All Vehicles,4,Petrol and electric hybrid,Number,2571
TEA17,New Vehicles Licensed for the First Time,2016,2016,,-,All Vehicles,7,Petrol or Diesel plug-in hybrid electric,Number,286
TEA17,New Vehicles Licensed for the First Time,2016,2016,,-,All Vehicles,9,Diesel and electric hybrid,Number,4
TEA17,New Vehicles Licensed for the First Time,2016,2016,,011,New Private Cars,-,All fuel types,Number,141931
TEA17,New Vehicles Licensed for the First Time,2016,2016,,011,New Private Cars,1,Petrol,Number,39472
TEA17,New Vehicles Licensed for the First Time,2016,2016,,011,New Private Cars,2,Diesel,Number,99306
TEA17,New Vehicles Licensed for the First Time,2016,2016,,011,New Private Cars,3,Other fuel types,Number,0
TEA17,New Vehicles Licensed for the First Time,2016,2016,,011,New Private Cars,4,Petrol and electric hybrid,Number,2474
TEA17,New Vehicles Licensed for the First Time,2016,2016,,011,New Private Cars,7,Petrol or Diesel plug-in hybrid electric,Number,283
TEA17,New Vehicles Licensed for the First Time,2016,2016,,011,New Private Cars,9,Diesel and electric hybrid,Number,4
TEA17,New Vehicles Licensed for the First Time,2016,2016,,012,New Goods Vehicles,-,All fuel types,Number,28051
TEA17,New Vehicles Licensed for the First Time,2016,2016,,012,New Goods Vehicles,1,Petrol,Number,4
TEA17,New Vehicles Licensed for the First Time,2016,2016,,012,New Goods Vehicles,2,Diesel,Number,28035
TEA17,New Vehicles Licensed for the First Time,2016,2016,,012,New Goods Vehicles,3,Other fuel types,Number,0
TEA17,New Vehicles Licensed for the First Time,2016,2016,,012,New Goods Vehicles,4,Petrol and electric hybrid,Number,0
TEA17,New Vehicles Licensed for the First Time,2016,2016,,012,New Goods Vehicles,7,Petrol or Diesel plug-in hybrid electric,Number,2
TEA17,New Vehicles Licensed for the First Time,2016,2016,,012,New Goods Vehicles,9,Diesel and electric hybrid,Number,0
TEA17,New Vehicles Licensed for the First Time,2016,2016,,013,New Tractors,-,All fuel types,Number,1934
TEA17,New Vehicles Licensed for the First Time,2016,2016,,013,New Tractors,1,Petrol,Number,7
TEA17,New Vehicles Licensed for the First Time,2016,2016,,013,New Tractors,2,Diesel,Number,1927
TEA17,New Vehicles Licensed for the First Time,2016,2016,,013,New Tractors,3,Other fuel types,Number,0
TEA17,New Vehicles Licensed for the First Time,2016,2016,,013,New Tractors,4,Petrol and electric hybrid,Number,0
TEA17,New Vehicles Licensed for the First Time,2016,2016,,013,New Tractors,7,Petrol or Diesel plug-in hybrid electric,Number,0
TEA17,New Vehicles Licensed for the First Time,2016,2016,,013,New Tractors,9,Diesel and electric hybrid,Number,0
TEA17,New Vehicles Licensed for the First Time,2016,2016,,014,New Motor Cycles,-,All fuel types,Number,1546
TEA17,New Vehicles Licensed for the First Time,2016,2016,,014,New Motor Cycles,1,Petrol,Number,1539
TEA17,New Vehicles Licensed for the First Time,2016,2016,,014,New Motor Cycles,2,Diesel,Number,1
TEA17,New Vehicles Licensed for the First Time,2016,2016,,014,New Motor Cycles,3,Other fuel types,Number,0
TEA17,New Vehicles Licensed for the First Time,2016,2016,,014,New Motor Cycles,4,Petrol and electric hybrid,Number,1
TEA17,New Vehicles Licensed for the First Time,2016,2016,,014,New Motor Cycles,7,Petrol or Diesel plug-in hybrid electric,Number,0
TEA17,New Vehicles Licensed for the First Time,2016,2016,,014,New Motor Cycles,9,Diesel and electric hybrid,Number,0
TEA17,New Vehicles Licensed for the First Time,2016,2016,,015,New Exempt Vehicles,-,All fuel types,Number,6207
TEA17,New Vehicles Licensed for the First Time,2016,2016,,015,New Exempt Vehicles,1,Petrol,Number,1079
TEA17,New Vehicles Licensed for the First Time,2016,2016,,015,New Exempt Vehicles,2,Diesel,Number,5035
TEA17,New Vehicles Licensed for the First Time,2016,2016,,015,New Exempt Vehicles,3,Other fuel types,Number,0
TEA17,New Vehicles Licensed for the First Time,2016,2016,,015,New Exempt Vehicles,4,Petrol and electric hybrid,Number,89
TEA17,New Vehicles Licensed for the First Time,2016,2016,,015,New Exempt Vehicles,7,Petrol or Diesel plug-in hybrid electric,Number,1
TEA17,New Vehicles Licensed for the First Time,2016,2016,,015,New Exempt Vehicles,9,Diesel and electric hybrid,Number,0
TEA17,New Vehicles Licensed for the First Time,2016,2016,,01601,New Public Service Vehicles,-,All fuel types,Number,957
TEA17,New Vehicles Licensed for the First Time,2016,2016,,01601,New Public Service Vehicles,1,Petrol,Number,21
